Sample,KMeans_Cluster,DBSCAN_Cluster,GMM_Cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,LD1,LD2,Ancestry_Q1,Ancestry_Q2,Ancestry_Q3
219,2,Noise,2,120.581864,-9.431552,-1.920346,5.095077,-26.696091,-8.116235,-18.287650,-61.498451,-40.356831,76.101736,17.534894,120.540199,0.000000,1.000000,0.000000
22,1,2,1,-40.814546,-1.348074,1.478566,-1.221723,6.495682,0.273878,-10.738107,8.554888,0.473429,-4.575416,-13.691708,-39.365369,0.960803,0.039194,0.000003
220,1,2,1,14.522910,2.219498,2.701354,11.496252,7.101402,-4.833157,-17.087031,-12.690954,-12.582184,8.026856,4.170089,13.210140,0.778180,0.221390,0.000430
221,1,Noise,2,-15.137293,-21.359802,17.231890,-13.061983,41.591177,22.578442,-2.103723,12.389174,8.151631,-9.152746,-24.117219,-10.853743,0.003835,0.995733,0.000432
23,1,2,1,-29.217411,-13.604530,-4.840972,21.278138,-1.909653,5.869727,11.030209,10.963896,1.631197,-3.518290,-18.446363,-25.162840,0.963736,0.036259,0.000004
24,1,2,1,-39.616833,-6.974654,3.578580,-17.690422,1.746958,-1.062063,-1.720467,9.308300,-1.686469,-9.785814,-17.958011,-36.135088,0.953777,0.046221,0.000002
25,1,2,1,-23.277772,-7.285903,1.769494,-4.918490,5.816355,-3.616430,-0.613761,8.234009,-3.332858,-11.844008,-12.191242,-20.777649,0.974150,0.025845,0.000005
26,1,2,1,-38.219642,-3.884962,-2.062010,10.358590,1.383725,-2.785823,-17.000222,-6.259033,-9.333794,7.854198,-16.426059,-35.547351,0.973178,0.026820,0.000002
27,1,2,1,-6.112555,-7.073652,-0.907514,3.490291,0.886937,-4.869668,-20.498197,-18.807905,-9.772349,4.453902,-11.162231,-2.748719,0.969812,0.030171,0.000017
28,1,2,1,-28.782680,-3.150918,-3.239225,12.753617,1.793858,-7.214227,-18.595428,-9.932869,-11.948553,6.346715,-12.650622,-26.520126,0.975670,0.024324,0.000006
29,1,2,1,-24.284991,-1.721190,-3.771340,14.696571,-9.118842,3.515457,-16.311032,-19.931425,-11.985728,11.211582,-12.238035,-21.584940,0.973114,0.026873,0.000012
3,3,1,3,9.518517,59.199957,-164.953182,-22.291695,31.495078,15.077816,3.390982,0.602898,1.040901,-0.178240,83.163557,-13.021286,0.000000,0.000000,1.000000
30,1,2,1,-30.137596,-7.438276,1.016710,5.231125,0.302227,-1.229939,-9.657009,-7.320550,-4.833252,8.976595,-17.169247,-26.441714,0.975640,0.024357,0.000003
31,1,2,1,-16.614625,-5.957112,-3.480552,9.501543,-9.852632,-3.807561,24.546472,19.952497,5.076719,-3.581583,-5.883051,-15.186444,0.975621,0.024368,0.000012
32,1,2,1,-8.253621,-11.373618,3.947576,-5.258177,7.893655,-4.876354,-2.624229,6.005584,-0.613027,-9.583929,-12.123421,-5.099870,0.941006,0.058976,0.000018
